2026-08-28 16:07:29.650407: I metal_plugin/src/device/metal_device.cc:1154] Metal device set to: Apple M1 Pro
2026-08-28 16:07:29.650665: I metal_plugin/src/device/metal_device.cc:296] systemMemory: 32.00 GB
2026-08-28 16:07:29.650686: I metal_plugin/src/device/metal_device.cc:313] maxCacheSize: 10.67 GB
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1787926049.651056 3751889 pluggable_device_factory.cc:305] Could not identify NUMA node of platform GPU ID 0, defaulting to 0. Your kernel may not have been built with NUMA support.
I0000 00:00:1787926049.651568 3751889 pluggable_device_factory.cc:271] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 0 MB memory) -> physical PluggableDevice (device: 0, name: METAL, pci bus id: <undefined>)
2026-08-28 16:07:30.202114: I tensorflow/core/grappler/optimizers/custom_graph_optimizer_registry.cc:117] Plugin optimizer for device_type GPU is enabled.
u128 d0.0 ep 10 T0.8 | val=2.118 | nowe 100.0% | świeże  99.2% | wiarygodność 182.9% | końc  67.5% | thius tresus, acorythialis thingioma, synduloma vergla
u128 d0.0 ep 10 T1.0 | val=2.118 | nowe 100.0% | świeże  99.2% | wiarygodność 198.9% | końc  57.5% | syndrophalia, herrerothasis ictuk parrani, achorofenenie
u128 d0.0 ep 10 T1.2 | val=2.118 | nowe 100.0% | świeże 100.0% | wiarygodność 214.6% | końc  45.8% | syntroma przvpheriqnum, glurmenchasis, sisin dipetiae de rumtencac
u128 d0.0 ep 20 T0.8 | val=1.923 | nowe 100.0% | świeże  98.3% | wiarygodność 159.8% | końc  70.0% | chrophalia, lexariosis, acteria
u128 d0.0 ep 20 T1.0 | val=1.923 | nowe 100.0% | świeże 100.0% | wiarygodność 176.1% | końc  62.5% | carcia chrenictis, dypericelosis, anyochaliosis perperui
u128 d0.0 ep 20 T1.2 | val=1.923 | nowe  99.2% | świeże  97.5% | wiarygodność 193.1% | końc  56.7% | febri gnadpheicnoculit sum thenosunustorales , enveria velmaemica ep ictecidi, emponfiomaenuvata
u128 d0.0 ep 30 T0.8 | val=1.894 | nowe  96.7% | świeże  90.8% | wiarygodność 139.5% | końc  78.3% | dipsia vangiaris, bolaskia, syndroma pnouromeni
u128 d0.0 ep 30 T1.0 | val=1.894 | nowe 100.0% | świeże  97.5% | wiarygodność 164.4% | końc  58.3% | oesyphosma onsykidelti, onacrobia, dermatoma panichardi mae
u128 d0.0 ep 30 T1.2 | val=1.894 | nowe  98.3% | świeże  96.7% | wiarygodność 175.3% | końc  64.2% | andylomaa, carcinoma eltuloe, cordinosis
u128 d0.0 ep 50 T0.8 | val=2.020 | nowe  96.7% | świeże  89.2% | wiarygodność 125.8% | końc  74.2% | syndroma neosa, anaemia praematorum, carcinoma mystoimmaelifamosum
u128 d0.0 ep 50 T1.0 | val=2.020 | nowe  97.5% | świeże  94.2% | wiarygodność 149.0% | końc  55.0% | fibrosis hordes, metosynesia intratuli, diabetit pillelis
u128 d0.0 ep 50 T1.2 | val=2.020 | nowe  99.2% | świeże  95.0% | wiarygodność 166.6% | końc  59.2% | tetos ver, ozarchilis, febris butongra-sechagilae immunaltolysis hyp
u128 d0.0 ep 80 T0.8 | val=2.350 | nowe  82.5% | świeże  75.0% | wiarygodność 124.6% | końc  65.0% | abortus, syndroma allergicum, hypothylophia velarialis
u128 d0.0 ep 80 T1.0 | val=2.350 | nowe  91.7% | świeże  85.8% | wiarygodność 140.6% | końc  60.8% | dontus hydrandelaris, tinia arsin, aphasia
u128 d0.0 ep 80 T1.2 | val=2.350 | nowe  95.0% | świeże  94.2% | wiarygodność 155.7% | końc  68.3% | rachitis, ruterriosis, triphiopposis
u128 d0.3 ep 10 T0.8 | val=2.160 | nowe 100.0% | świeże  99.2% | wiarygodność 193.6% | końc  60.8% | bersos thunondia, achiosis voema, teragia ioglia
u128 d0.3 ep 10 T1.0 | val=2.160 | nowe 100.0% | świeże 100.0% | wiarygodność 205.6% | końc  55.8% | pananihis, orondsemohytitih, cansir
